Date,Year,Month,Day,Item,Gender
2020-01-01,2020,1,1,1,0
2020-01-01,2020,1,1,1,0
2020-01-01,2020,1,1,3,1
2020-01-01,2020,1,1,1,0
2020-01-01,2020,1,1,1,0
2020-01-01,2020,1,1,1,0
2020-01-01,2020,1,1,1,0
2020-01-02,2020,1,2,1,0
2020-01-02,2020,1,2,2,1
2020-01-02,2020,1,2,1,0
2020-01-02,2020,1,2,3,1
2020-01-02,2020,1,2,1,0
2020-01-02,2020,1,2,1,0
2020-01-02,2020,1,2,1,0
2020-01-03,2020,1,3,1,0
2020-01-03,2020,1,3,1,0
2020-01-03,2020,1,3,1,0
2020-01-03,2020,1,3,1,0
2020-01-03,2020,1,3,1,0
2020-01-03,2020,1,3,1,0
2020-01-03,2020,1,3,1,0
2020-01-04,2020,1,4,1,0
2020-01-04,2020,1,4,3,1
2020-01-04,2020,1,4,3,1
2020-01-04,2020,1,4,1,0
2020-01-04,2020,1,4,1,0
2020-01-04,2020,1,4,1,0
2020-01-04,2020,1,4,1,0
2020-01-05,2020,1,5,1,0
2020-01-05,2020,1,5,1,0
2020-01-05,2020,1,5,2,1
2020-01-05,2020,1,5,1,0
2020-01-05,2020,1,5,1,0
2020-01-05,2020,1,5,3,1
2020-01-05,2020,1,5,1,0
2020-01-06,2020,1,6,1,0
2020-01-06,2020,1,6,1,0
2020-01-06,2020,1,6,1,0
2020-01-06,2020,1,6,1,0
2020-01-06,2020,1,6,1,0
2020-01-06,2020,1,6,1,0
2020-01-06,2020,1,6,1,0
2020-01-07,2020,1,7,1,0
2020-01-07,2020,1,7,1,0
2020-01-07,2020,1,7,1,0
2020-01-07,2020,1,7,1,0
2020-01-07,2020,1,7,1,0
2020-01-07,2020,1,7,1,0
2020-01-07,2020,1,7,1,0
2020-01-08,2020,1,8,1,0
2020-01-08,2020,1,8,1,0
2020-01-08,2020,1,8,1,0
2020-01-08,2020,1,8,1,0
2020-01-08,2020,1,8,1,0
2020-01-08,2020,1,8,3,1
2020-01-08,2020,1,8,2,1
2020-01-09,2020,1,9,3,1
2020-01-09,2020,1,9,1,0
2020-01-09,2020,1,9,1,0
2020-01-09,2020,1,9,1,0
2020-01-09,2020,1,9,1,0
2020-01-09,2020,1,9,1,0
2020-01-09,2020,1,9,1,0
2020-01-10,2020,1,10,1,0
2020-01-10,2020,1,10,1,0
2020-01-10,2020,1,10,1,0
2020-01-10,2020,1,10,1,0
2020-01-10,2020,1,10,1,0
2020-01-10,2020,1,10,1,0
2020-01-10,2020,1,10,1,0
2020-01-11,2020,1,11,1,0
2020-01-11,2020,1,11,1,0
2020-01-11,2020,1,11,1,0
2020-01-11,2020,1,11,1,0
2020-01-11,2020,1,11,1,0
2020-01-11,2020,1,11,1,0
2020-01-11,2020,1,11,1,0
2020-01-12,2020,1,12,1,0
2020-01-12,2020,1,12,2,1
2020-01-12,2020,1,12,1,0
2020-01-12,2020,1,12,1,0
2020-01-12,2020,1,12,1,0
2020-01-12,2020,1,12,1,0
2020-01-12,2020,1,12,1,0
2020-01-13,2020,1,13,1,0
2020-01-13,2020,1,13,1,0
2020-01-13,2020,1,13,1,0
2020-01-13,2020,1,13,1,0
2020-01-13,2020,1,13,1,0
2020-01-13,2020,1,13,1,0
2020-01-13,2020,1,13,2,1
2020-01-14,2020,1,14,1,0
2020-01-14,2020,1,14,1,0
2020-01-14,2020,1,14,1,0
2020-01-14,2020,1,14,1,0
2020-01-14,2020,1,14,1,0
2020-01-14,2020,1,14,1,0
2020-01-14,2020,1,14,1,0
2020-01-15,2020,1,15,2,1
2020-01-15,2020,1,15,1,0
2020-01-15,2020,1,15,3,1
2020-01-15,2020,1,15,2,1
2020-01-15,2020,1,15,1,0
2020-01-15,2020,1,15,3,1
2020-01-15,2020,1,15,1,0
