Month,Gender,Item
1,0,1
1,1,2
1,0,1
1,1,2
1,1,3
1,0,1
1,0,1
1,0,1
1,1,3
1,1,2
1,0,1
1,0,1
1,1,3
1,0,1
1,1,2
1,0,1
1,0,1
1,0,1
1,0,1
1,1,3
1,0,1
1,0,1
1,0,1
1,1,2
1,0,1
1,0,1
1,0,1
1,1,2
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,3
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,3
1,0,1
1,0,1
1,0,1
1,1,3
1,0,1
1,0,1
1,1,2
1,1,3
1,0,1
1,0,1
1,1,3
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,3
1,0,1
1,0,1
1,0,1
1,1,2
1,0,1
1,0,1
1,0,1
1,1,3
1,0,1
1,0,1
1,0,1
1,0,1
1,1,3
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,3
1,0,1
1,1,3
1,1,3
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,2
1,0,1
1,0,1
1,0,1
1,0,1
1,1,3
1,0,1
1,0,1
1,1,2
1,0,1
1,1,3
1,0,1
1,0,1
1,0,1
1,1,3
1,1,3
1,1,2
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,2
1,1,2
1,1,3
1,0,1
1,1,3
1,0,1
1,0,1
1,1,3
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,2
1,1,3
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,3
1,0,1
1,1,3
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,2
1,1,3
1,1,2
1,0,1
1,0,1
1,1,2
1,1,3
1,1,3
1,0,1
1,0,1
1,1,2
1,0,1
1,0,1
1,1,3
1,1,3
1,0,1
1,0,1
1,1,3
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,3
2,0,1
2,1,3
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,1,3
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,1,2
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,1,3
2,0,1
2,1,3
2,0,1
2,0,1
2,1,3
2,0,1
2,0,1
2,0,1
2,0,1
2,1,3
2,0,1
2,0,1
2,0,1
2,0,1
2,1,3
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,1,3
2,0,1
2,1,3
2,1,2
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,1,2
2,1,2
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,1,2
2,0,1
2,1,3
2,0,1
2,0,1
2,0,1
2,1,2
2,0,1
2,1,3
2,0,1
2,0,1
2,0,1
2,1,2
2,0,1
2,0,1
2,1,3
2,0,1
2,1,3
2,0,1
2,1,2
2,1,2
2,0,1
2,0,1
2,0,1
2,1,2
2,1,3
2,0,1
2,0,1
2,1,3
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,1,3
2,1,2
2,0,1
2,1,2
2,0,1
2,0,1
2,0,1
2,0,1
2,1,2
2,0,1
2,0,1
2,0,1
2,0,1
2,1,2
2,1,2
2,1,3
2,1,2
2,1,2
2,1,2
2,1,2
2,0,1
2,1,3
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,1,3
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,1,3
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,1,2
2,0,1
2,0,1
2,1,3
2,0,1
2,1,3
2,1,2
2,0,1
2,0,1
2,0,1
2,0,1
2,1,3
2,0,1
2,1,2
2,1,3
2,0,1
2,1,2
3,0,4
3,1,2
3,0,4
3,1,2
3,1,2
3,1,2
3,0,3
3,1,2
3,0,3
3,1,2
3,1,2
3,0,4
3,0,3
3,0,3
3,0,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,4
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,4
3,1,2
3,0,4
3,0,3
3,1,2
3,1,2
3,0,4
3,0,3
3,1,2
3,0,3
3,0,4
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,4
3,1,2
3,1,2
3,1,2
3,0,3
3,1,2
3,1,2
3,1,2
3,1,2
3,0,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,4
3,1,2
3,1,2
3,1,2
3,0,4
3,1,2
3,1,2
3,0,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,4
3,0,4
3,0,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,3
3,1,2
3,1,2
3,0,3
3,1,2
3,0,4
3,1,2
3,1,2
3,1,2
3,0,4
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,3
3,0,3
3,1,2
3,1,2
3,1,2
3,0,3
3,1,2
3,1,2
3,0,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,4
3,0,4
3,0,3
3,1,2
3,0,4
3,1,2
3,1,2
3,1,2
3,1,2
3,0,4
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,4
3,0,3
3,0,3
3,1,2
3,1,2
3,1,2
3,1,2
3,0,4
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,4
3,1,2
3,1,2
3,0,4
3,0,4
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,3
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,1,2
3,0,3
3,1,2
4,1,2
4,1,2
4,0,4
4,0,4
4,1,2
4,0,4
4,1,2
4,1,2
4,0,4
4,1,2
4,1,2
4,1,2
4,1,2
4,0,3
4,1,2
4,0,4
4,1,2
4,1,2
4,0,4
4,1,2
4,1,2
4,0,3
4,1,2
4,1,2
4,0,4
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,0,3
4,0,3
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,0,3
4,1,2
4,0,3
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,0,4
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,0,3
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,0,3
4,1,2
4,1,2
4,1,2
4,0,4
4,1,2
4,0,4
4,0,4
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,0,4
4,1,2
4,1,2
4,1,2
4,0,3
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,0,3
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,0,3
4,1,2
4,1,2
4,0,3
4,1,2
4,0,4
4,1,2
4,0,4
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,0,4
4,1,2
4,0,4
4,1,2
4,0,3
4,1,2
4,1,2
4,1,2
4,1,2
4,0,3
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,0,3
4,1,2
4,1,2
4,0,4
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
4,1,2
5,0,3
5,0,3
5,0,3
5,0,3
5,1,4
5,0,3
5,0,3
5,1,4
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,4
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,5
5,1,4
5,0,3
5,1,4
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,5
5,1,4
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,4
5,0,3
5,0,3
5,1,5
5,1,4
5,1,4
5,1,5
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,4
5,0,3
5,0,3
5,0,3
5,0,3
5,1,5
5,0,3
5,0,3
5,1,5
5,0,3
5,1,4
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,4
5,0,3
5,0,3
5,1,4
5,0,3
5,1,5
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,4
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,5
5,1,4
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,4
5,0,3
5,0,3
5,1,4
5,0,3
5,1,4
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,5
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,4
5,1,4
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,5
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,4
5,0,3
5,0,3
5,1,4
5,0,3
5,1,4
5,0,3
5,0,3
5,0,3
5,0,3
5,1,5
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,4
5,0,3
5,1,5
5,0,3
5,1,5
5,0,3
5,1,5
5,1,5
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,0,3
5,1,4
5,0,3
5,0,3
6,0,3
6,0,3
6,0,3
6,1,5
6,0,3
6,0,3
6,1,5
6,0,3
6,0,3
6,0,3
6,1,4
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,1,5
6,1,5
6,0,3
6,1,4
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,1,5
6,1,4
6,0,3
6,0,3
6,0,3
6,0,3
6,1,5
6,0,3
6,1,5
6,0,3
6,0,3
6,0,3
6,0,3
6,0,3
6,1,5
